argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
Primo Soccorso,PS207,"In presenza di gas in un ambiente confinato, un soccorritore non addestrato deve?",Entrare da solo con un fazzoletto,Non entrare e attivare soccorsi specializzati,Entrare trattenendo il respiro,Accendere una fiamma,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS208,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? In presenza di gas in un ambiente confinato, un soccorritore non addestrato deve?",Entrare trattenendo il respiro,Accendere una fiamma,Entrare da solo con un fazzoletto,Non entrare e attivare soccorsi specializzati,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS209,"Per un colpo di calore con alterazione mentale, cosa occorre fare?",Chiamare i soccorsi e iniziare un raffreddamento rapido,Coprire con molte coperte,Dare alcol,Far svolgere attività fisica,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS210,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? Per un colpo di calore con alterazione mentale, cosa occorre fare?",Dare alcol,Far svolgere attività fisica,Chiamare i soccorsi e iniziare un raffreddamento rapido,Coprire con molte coperte,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS211,Quale segno rende particolarmente grave una malattia da calore?,Sete lieve isolata,Sudorazione dopo esercizio senza altri sintomi,Arrossamento minimo,Alterazione dello stato di coscienza,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS212,Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? Quale segno rende particolarmente grave una malattia da calore?,Arrossamento minimo,Alterazione dello stato di coscienza,Sete lieve isolata,Sudorazione dopo esercizio senza altri sintomi,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS213,"In caso di ipotermia, come va gestita la persona?",Immergendola subito in acqua bollente,Somministrando alcol,"Con delicatezza, isolandola dal freddo e rimuovendo indumenti bagnati se possibile",Strofinando energicamente gli arti,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS214,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? In caso di ipotermia, come va gestita la persona?","Con delicatezza, isolandola dal freddo e rimuovendo indumenti bagnati se possibile",Strofinando energicamente gli arti,Immergendola subito in acqua bollente,Somministrando alcol,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS215,"In una persona con grave ipotermia, la valutazione del respiro richiede particolare attenzione perché?",Il DAE è sempre vietato,Il respiro può essere molto lento e difficile da rilevare,Il respiro è sempre accelerato,La persona non può avere arresto cardiaco,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS216,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? In una persona con grave ipotermia, la valutazione del respiro richiede particolare attenzione perché?",Il respiro è sempre accelerato,La persona non può avere arresto cardiaco,Il DAE è sempre vietato,Il respiro può essere molto lento e difficile da rilevare,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS217,"Dopo il recupero dall’acqua di una persona che non respira normalmente, cosa fare?",Attivare i soccorsi e iniziare la RCP,Far uscire l’acqua comprimendo l’addome,Appenderla a testa in giù,Attendere che tossisca,A,ERC Guidelines 2025
Primo Soccorso,PS218,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? Dopo il recupero dall’acqua di una persona che non respira normalmente, cosa fare?",Appenderla a testa in giù,Attendere che tossisca,Attivare i soccorsi e iniziare la RCP,Far uscire l’acqua comprimendo l’addome,C,ERC Guidelines 2025
Primo Soccorso,PS219,"In caso di morso di serpente, cosa è corretto?",Incidere e succhiare la ferita,Applicare ghiaccio direttamente per ore,Far correre la persona,"Tenere la persona a riposo, immobilizzare l’arto e attivare i soccorsi",D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS220,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? In caso di morso di serpente, cosa è corretto?",Far correre la persona,"Tenere la persona a riposo, immobilizzare l’arto e attivare i soccorsi",Incidere e succhiare la ferita,Applicare ghiaccio direttamente per ore,B,"ERC Guidelines 2025, First Aid"
